Eulerx,Eulery,Eulerz,Accx,Accy,Accz,Gx,Gy,Gz,label,Activity,Result
0,-2.823529,66.352941,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.039216,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,0.007843,-0.023529,-0.007843,-1.960784,-1.960784,1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.039216,-0.039216,0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,0.007843,0.007843,-0.039216,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.023529,-0.007843,0.023529,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,0.007843,-0.007843,-0.039216,-1.960784,1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.039216,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,0.007843,0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,0.007843,0.007843,-0.023529,-1.960784,1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,0.054902,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,0.007843,-1.960784,-5.882353,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,0.039216,-1.960784,-5.882353,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.039216,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,66.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
