Eulerx,Eulery,Eulerz,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Label
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,3
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,3
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,3
-4.235294,-2.823529,-42.352941,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,3
-4.235294,-2.823529,-42.352941,-0.023529,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3
-4.235294,-2.823529,-42.352941,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3
