Minutes,Seconds,Frames,Eulerx,Eulery,Eulerz,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,label,Activity,Result
0,0,1,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,0,2,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,0,3,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,4,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,5,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,6,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,7,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,8,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,9,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,10,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,11,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,12,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,13,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,14,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,15,-2.823529,-2.823529,-2.823529,-0.007843,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,16,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,17,-2.823529,-2.823529,-2.823529,0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,18,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,0,19,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,20,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,21,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,22,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,23,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,24,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,25,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,26,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,0,27,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,0,28,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,0,29,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,0,30,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,0,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,1,-2.823529,-2.823529,-2.823529,0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,2,-2.823529,-2.823529,-2.823529,-0.007843,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,3,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,4,-2.823529,-2.823529,-2.823529,-0.007843,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,5,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,6,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,7,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,8,-2.823529,-2.823529,-2.823529,0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,9,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,10,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,11,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,12,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,13,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,14,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,15,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,16,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,17,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,18,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,19,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,20,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,21,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,22,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,23,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,24,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,25,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,26,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,27,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,28,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,1,29,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,0,-2.823529,-2.823529,-2.823529,0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,1,-2.823529,-2.823529,-2.823529,-0.007843,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,2,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,3,-2.823529,-2.823529,-2.823529,0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,4,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,5,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,6,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,7,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,8,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,9,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,10,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,11,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,12,-2.823529,-2.823529,-2.823529,-0.007843,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,13,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,14,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,15,-2.823529,-2.823529,-2.823529,0.007843,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,16,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,17,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,18,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,19,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,20,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,21,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,9
0,2,22,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,2,23,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,2,24,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,2,25,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,2,26,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,2,27,-2.823529,-2.823529,-2.823529,-0.007843,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,2,28,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,2,29,-2.823529,-2.823529,-2.823529,-0.007843,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,0,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,1,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,2,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,3,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,4,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,5,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,6,-2.823529,-2.823529,-2.823529,0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,7,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,8,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,9,-2.823529,-2.823529,-2.823529,0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,10,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,11,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,12,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,13,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,14,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,15,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,16,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,17,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,18,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,19,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,20,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,21,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,22,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,23,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,24,-2.823529,-2.823529,-2.823529,0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,25,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,26,-2.823529,-2.823529,-2.823529,-0.007843,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
0,3,27,-2.823529,-2.823529,-2.823529,-0.023529,-0.039216,-0.007843,-1.960784,-1.960784,-1.960784,3,2,2
