Eulerx,Eulery,Eulerz,Accx,Accy,Accz,Gx,Gy,Gz,label,Activity,Result
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,2
0,-2.823529,-88.941176,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,9,9
0,-2.823529,-88.941176,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
0,-2.823529,-88.941176,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null,2,9
