Eulerx,Eulery,Eulerz,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Label
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.086275,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.086275,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.086275,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.086275,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.086275,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.086275,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.086275,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
0,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.086275,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.086275,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.023529,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,4.235294,12.705882,-0.070588,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null
