Eulerx,Eulery,Eulerz,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Label
-2.823529,0,-8.470588,-0.007843,0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.023529,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,0.007843,0.023529,0.007843,-1.960784,-1.960784,-1.960784,Null
-2.823529,0,-8.470588,-0.007843,-0.007843,-0.007843,-1.960784,-1.960784,-1.960784,3
